Endpoint,Family,Lab,Type,USD/min @720p,Price basis,Max frames,Duration options,Quality options,Aspect ratios,Audio?,Start frame?,End frame?,Multi-cut?,Task,Lipsync?,Strongest side,Weakest side,Strongest use-cases,Weakest use-cases
fal-ai/heygen/avatar5/digital-twin,HeyGen,Heygen,text-to-video,6.0,$0.10/s x 60s,,follows script/audio length,"720p, 1080p, 4k","16:9, 9:16, 4:5, 5:4, 1:1, auto",Input only (drives lipsync),No (text-only),No,No — single shot,generate,Yes — dedicated lipsync/avatar model,"Production-grade digital twins with lip-sync, backgrounds, captions and MP4/WebM output; avatar3/4/5 tiers plus video-agent endpoints.",Requires avatar setup; costly at $0.10/s for avatar4; presenter-framing only.,"Presenter-led training and onboarding, personalized sales/marketing at scale, multilingual spokesperson content, a digital twin of a real founder or host.","Non-presenter creative scenes, action beyond the speaker, one-off cheap clips (avatar setup overhead)."
fal-ai/heygen/v2/translate/precision,HeyGen,Heygen,video-to-video,6.0,$0.1/s x 60s,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,edit/restyle,Yes — dialogue/lipsync supported,"Production-grade digital twins with lip-sync, backgrounds, captions and MP4/WebM output; avatar3/4/5 tiers plus video-agent endpoints.",Requires avatar setup; costly at $0.10/s for avatar4; presenter-framing only.,"Presenter-led training and onboarding, personalized sales/marketing at scale, multilingual spokesperson content, a digital twin of a real founder or host.","Non-presenter creative scenes, action beyond the speaker, one-off cheap clips (avatar setup overhead)."
fal-ai/heygen/v2/translate/speed,HeyGen,Heygen,video-to-video,3.0,$0.05/s x 60s,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,edit/restyle,No,"Production-grade digital twins with lip-sync, backgrounds, captions and MP4/WebM output; avatar3/4/5 tiers plus video-agent endpoints.",Requires avatar setup; costly at $0.10/s for avatar4; presenter-framing only.,"Presenter-led training and onboarding, personalized sales/marketing at scale, multilingual spokesperson content, a digital twin of a real founder or host.","Non-presenter creative scenes, action beyond the speaker, one-off cheap clips (avatar setup overhead)."
fal-ai/heygen/v2/video-agent,HeyGen,Heygen,text-to-video,2.04,$0.034/s x 60s,,follows script length,fixed,fixed,No,No (text-only),No,No — single shot,generate,Yes — dedicated lipsync/avatar model,"Production-grade digital twins with lip-sync, backgrounds, captions and MP4/WebM output; avatar3/4/5 tiers plus video-agent endpoints.",Requires avatar setup; costly at $0.10/s for avatar4; presenter-framing only.,"Presenter-led training and onboarding, personalized sales/marketing at scale, multilingual spokesperson content, a digital twin of a real founder or host.","Non-presenter creative scenes, action beyond the speaker, one-off cheap clips (avatar setup overhead)."
fal-ai/heygen/v3/filler-word-removal,HeyGen,,video-to-video,0.6,$0.01/s of input video x 60s (60s minimum charge),,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,inpaint/erase,No,"Production-grade digital twins with lip-sync, backgrounds, captions and MP4/WebM output; avatar3/4/5 tiers plus video-agent endpoints.",Requires avatar setup; costly at $0.10/s for avatar4; presenter-framing only.,"Presenter-led training and onboarding, personalized sales/marketing at scale, multilingual spokesperson content, a digital twin of a real founder or host.","Non-presenter creative scenes, action beyond the speaker, one-off cheap clips (avatar setup overhead)."
fal-ai/heygen/v3/lipsync/precision,HeyGen,Heygen,video-to-video,6.0,$0.1/s x 60s,,fixed / not exposed,fixed,fixed,Input only (drives lipsync),No,No,No — single shot,lipsync,Yes — dedicated lipsync/avatar model,"Production-grade digital twins with lip-sync, backgrounds, captions and MP4/WebM output; avatar3/4/5 tiers plus video-agent endpoints.",Requires avatar setup; costly at $0.10/s for avatar4; presenter-framing only.,"Presenter-led training and onboarding, personalized sales/marketing at scale, multilingual spokesperson content, a digital twin of a real founder or host.","Non-presenter creative scenes, action beyond the speaker, one-off cheap clips (avatar setup overhead)."
fal-ai/heygen/v3/lipsync/speed,HeyGen,Heygen,video-to-video,3.0,$0.05/s x 60s,,fixed / not exposed,fixed,fixed,Input only (drives lipsync),No,No,No — single shot,lipsync,Yes — dedicated lipsync/avatar model,"Production-grade digital twins with lip-sync, backgrounds, captions and MP4/WebM output; avatar3/4/5 tiers plus video-agent endpoints.",Requires avatar setup; costly at $0.10/s for avatar4; presenter-framing only.,"Presenter-led training and onboarding, personalized sales/marketing at scale, multilingual spokesperson content, a digital twin of a real founder or host.","Non-presenter creative scenes, action beyond the speaker, one-off cheap clips (avatar setup overhead)."
fal-ai/heygen/v3/video-agent,HeyGen,Heygen,text-to-video,2.04,$0.034/s x 60s,,follows script length,fixed,"landscape, portrait",Input only (drives lipsync),No (text-only),No,No — single shot,generate,Yes — dedicated lipsync/avatar model,"Production-grade digital twins with lip-sync, backgrounds, captions and MP4/WebM output; avatar3/4/5 tiers plus video-agent endpoints.",Requires avatar setup; costly at $0.10/s for avatar4; presenter-framing only.,"Presenter-led training and onboarding, personalized sales/marketing at scale, multilingual spokesperson content, a digital twin of a real founder or host.","Non-presenter creative scenes, action beyond the speaker, one-off cheap clips (avatar setup overhead)."
fal-ai/hunyuan-video,Hunyuan (legacy),Tencent,text-to-video,4.8,$0.4 per 5s video -> x60,129,~5.4 s (129 frames @24fps),"480p, 580p, 720p","16:9, 9:16",No,No (text-only),No,No — single shot,generate,No,Open weights with excellent text-video alignment for its generation; strong motion diversity.,"129-frame cap, no audio, slow, and superseded by Hunyuan 1.5.",Open-weights research baselines.,Current production.
fal-ai/hunyuan-video-image-to-video,Hunyuan (legacy),Tencent,image-to-video,4.8,$0.4 per 5s video -> x60,129,~5.4 s (129 frames @24fps),fixed,"16:9, 9:16",No,Yes,No,No — single shot,generate,No,Open weights with excellent text-video alignment for its generation; strong motion diversity.,"129-frame cap, no audio, slow, and superseded by Hunyuan 1.5.",Open-weights research baselines.,Current production.
fal-ai/hunyuan-video-img2vid-lora,Hunyuan (legacy),Tencent,image-to-video,4.8,$0.40 per 5s video -> x60 (same as hunyuan-video),129,~5.4 s (129 frames @24fps),fixed,inherits input image,No,No,No,No — single shot,generate,No,Open weights with excellent text-video alignment for its generation; strong motion diversity.,"129-frame cap, no audio, slow, and superseded by Hunyuan 1.5.",Open-weights research baselines.,Current production.
fal-ai/hunyuan-video/video-to-video,Hunyuan (legacy),Tencent,video-to-video,,billed per GPU compute-second (varies with runtime),,fixed / not exposed,"480p, 580p, 720p","16:9, 9:16",No,No,No,No — single shot,edit/restyle,No,Open weights with excellent text-video alignment for its generation; strong motion diversity.,"129-frame cap, no audio, slow, and superseded by Hunyuan 1.5.",Open-weights research baselines.,Current production.
fal-ai/hunyuan-video-v1.5/image-to-video,Hunyuan 1.5,Tencent,image-to-video,4.5,$0.075/s x 60s (fal's '0.075 cents/s' blurb is a typo; page body says $0.075/s),121,0.0–5.0 s (via num_frames),480p (720p not offered yet),"16:9, 9:16",No,Yes,No,No — single shot,generate,No,Fully open Apache-2.0 8.3B model that runs on ~14 GB consumer GPUs; strong prompt adherence and motion for its size; ~2x faster inference via SSTA attention.,fal's endpoint serves 480p only — 1080p needs the self-hosted super-resolution pass; no audio; smaller LoRA ecosystem than Wan.,"Self-hosted consumer-GPU pipelines (Apache-2.0, ~14 GB VRAM), unrestricted research, budget drafts with strong prompt adherence.","Direct 720p+ delivery from the fal endpoint (480p only — upscale is your job), sound-led content."
fal-ai/hunyuan-video-v1.5/text-to-video,Hunyuan 1.5,Tencent,text-to-video,4.5,$0.075/s x 60s (fal's '0.075 cents/s' blurb is a typo; page body says $0.075/s),121,0.0–5.0 s (via num_frames),480p (720p not offered yet),"16:9, 9:16",No,No (text-only),No,No — single shot,generate,No,Fully open Apache-2.0 8.3B model that runs on ~14 GB consumer GPUs; strong prompt adherence and motion for its size; ~2x faster inference via SSTA attention.,fal's endpoint serves 480p only — 1080p needs the self-hosted super-resolution pass; no audio; smaller LoRA ecosystem than Wan.,"Self-hosted consumer-GPU pipelines (Apache-2.0, ~14 GB VRAM), unrestricted research, budget drafts with strong prompt adherence.","Direct 720p+ delivery from the fal endpoint (480p only — upscale is your job), sound-led content."
fal-ai/hunyuan-video-foley,Hunyuan Foley,Tencent,video-to-video,0.6,$0.1 per 10s -> x60,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,video→audio,No,Tencent's foley model for event-matched sound effects.,SFX only; limited control surface.,Adding impact and ambience to AI video.,"Music, dialogue."
fal-ai/infinity-star/text-to-video,Infinity-Star,,text-to-video,0.84,$0.07 per 5s video -> x60,120,~5 s (fixed),720p (from docs),"16:9, 1:1, 9:16",No,No (text-only),No,No — single shot,generate,No,"8B spacetime autoregressive engine — roughly 10x faster than diffusion at 720p, for $0.07 per video.","Very short clips, minimal control surface, and quality well below diffusion peers.","Latency-sensitive draft loops (autoregressive ≈10x diffusion speed), interactive demos.",Final renders.
fal-ai/kandinsky5/text-to-video,Kandinsky 5,Kandinsky,text-to-video,0.96,$0.08 per 5s -> x60,240,"5s, 10s",fixed,"3:2, 1:1, 2:3",No,No (text-only),No,No — single shot,generate,No,Flat $0.05–$0.16 per clip regardless of resolution — extremely predictable cost. Distill tier is very fast.,Lower fidelity than Wan/LTX at the same price; no audio; 5s/10s only.,"Flat-rate bulk drafting where cost certainty matters, distill tier for near-realtime iteration.",Fidelity-led work.
fal-ai/kandinsky5/text-to-video/distill,Kandinsky 5,Kandinsky,text-to-video,0.6,$0.05 per 5s -> x60,240,"5s, 10s",fixed,"3:2, 1:1, 2:3",No,No (text-only),No,No — single shot,generate,No,Flat $0.05–$0.16 per clip regardless of resolution — extremely predictable cost. Distill tier is very fast.,Lower fidelity than Wan/LTX at the same price; no audio; 5s/10s only.,"Flat-rate bulk drafting where cost certainty matters, distill tier for near-realtime iteration.",Fidelity-led work.
fal-ai/kandinsky5-pro/image-to-video,Kandinsky 5 Pro,Kandinsky,image-to-video,7.2,$0.12/s @1024p x 60s (no 720p tier),120,fixed 5s,"512P, 1024P",inherits input image,No,Yes,No,No — single shot,generate,No,Fast high-quality diffusion with a 1024p tier; genuinely open Russian-lab alternative.,"No 720p tier (512p or 1024p only), so 720p work overpays; no audio; weak English prompt nuance.","1024p spots with flat predictable pricing, Russian-language briefs.","720p-optimized budgets, English-idiom-heavy prompts."
fal-ai/kandinsky5-pro/text-to-video,Kandinsky 5 Pro,Kandinsky,text-to-video,7.2,$0.12/s @1024p x 60s (no 720p tier),120,fixed 5s,"512P, 1024P","3:2, 1:1, 2:3",No,No (text-only),No,No — single shot,generate,No,Fast high-quality diffusion with a 1024p tier; genuinely open Russian-lab alternative.,"No 720p tier (512p or 1024p only), so 720p work overpays; no audio; weak English prompt nuance.","1024p spots with flat predictable pricing, Russian-language briefs.","720p-optimized budgets, English-idiom-heavy prompts."
fal-ai/kling-video/v1/standard/effects,Kling 1.0,Kling,text-to-video,2.7,$0.045/s x 60s,240,"5, 10 s",fixed,fixed,No,Yes (multi-image / reference),No,No — single shot,generate,No,Lowest-cost entry into the Kling API surface; effects presets included.,"Clearly obsolete quality — soft detail, weak prompt adherence, no audio.","API smoke tests, historical comparisons.",All production work.
fal-ai/kling-video/v1/standard/image-to-video,Kling 1.0,Kling,image-to-video,2.7,$0.045/s x 60s,240,"5, 10 s",fixed,inherits input image,No,Yes,Yes,No — single shot,generate,No,Lowest-cost entry into the Kling API surface; effects presets included.,"Clearly obsolete quality — soft detail, weak prompt adherence, no audio.","API smoke tests, historical comparisons.",All production work.
fal-ai/kling-video/v1/standard/text-to-video,Kling 1.0,Kling,text-to-video,2.7,$0.045/s x 60s,240,"5, 10 s",fixed,"16:9, 9:16, 1:1",No,No (text-only),No,No — single shot,generate,No,Lowest-cost entry into the Kling API surface; effects presets included.,"Clearly obsolete quality — soft detail, weak prompt adherence, no audio.","API smoke tests, historical comparisons.",All production work.
fal-ai/kling-video/v1.5/pro/effects,Kling 1.5,Kling,text-to-video,6.0,$0.1/s x 60s,240,"5, 10 s",fixed,fixed,No,Yes (multi-image / reference),No,No — single shot,generate,No,Pro-tier effects endpoints and dependable image-to-video for simple shots.,"Superseded on every axis; no audio, low resolution ceiling.","Effects-preset socials, quick drafts.",Everything client-facing.
fal-ai/kling-video/v1.5/pro/image-to-video,Kling 1.5,Kling,image-to-video,6.0,$0.1/s x 60s,240,"5, 10 s",fixed,"16:9, 9:16, 1:1",No,Yes,Yes,No — single shot,generate,No,Pro-tier effects endpoints and dependable image-to-video for simple shots.,"Superseded on every axis; no audio, low resolution ceiling.","Effects-preset socials, quick drafts.",Everything client-facing.
fal-ai/kling-video/v1.5/pro/text-to-video,Kling 1.5,Kling,text-to-video,6.0,$0.1/s x 60s,240,"5, 10 s",fixed,"16:9, 9:16, 1:1",No,No (text-only),No,No — single shot,generate,No,Pro-tier effects endpoints and dependable image-to-video for simple shots.,"Superseded on every axis; no audio, low resolution ceiling.","Effects-preset socials, quick drafts.",Everything client-facing.
fal-ai/kling-video/v1.6/pro/effects,Kling 1.6,Kling,text-to-video,5.88,$0.098/s x 60s,240,"5, 10 s",fixed,fixed,No,Yes (multi-image / reference),No,No — single shot,generate,No,Cheap workhorse with an 'elements' mode for multi-subject composition; still fine for simple motion.,"Dated visual quality, visible artifacting on fast motion, no audio.","Cheap drafts, effects presets, elements-based multi-subject experiments.",Client deliverables at 2026 quality bars.
fal-ai/kling-video/v1.6/pro/elements,Kling 1.6,Kling,image-to-video,5.88,$0.098/s x 60s,240,"5, 10 s",fixed,"16:9, 9:16, 1:1",No,Yes (multi-image / reference),No,No — single shot,generate,No,Cheap workhorse with an 'elements' mode for multi-subject composition; still fine for simple motion.,"Dated visual quality, visible artifacting on fast motion, no audio.","Cheap drafts, effects presets, elements-based multi-subject experiments.",Client deliverables at 2026 quality bars.
fal-ai/kling-video/v1.6/pro/image-to-video,Kling 1.6,Kling,image-to-video,5.88,$0.098/s x 60s,240,"5, 10 s",fixed,"16:9, 9:16, 1:1",No,Yes,Yes,No — single shot,generate,No,Cheap workhorse with an 'elements' mode for multi-subject composition; still fine for simple motion.,"Dated visual quality, visible artifacting on fast motion, no audio.","Cheap drafts, effects presets, elements-based multi-subject experiments.",Client deliverables at 2026 quality bars.
fal-ai/kling-video/v1.6/pro/text-to-video,Kling 1.6,Kling,text-to-video,5.88,$0.098/s x 60s,240,"5, 10 s",fixed,"16:9, 9:16, 1:1",No,No (text-only),No,No — single shot,generate,No,Cheap workhorse with an 'elements' mode for multi-subject composition; still fine for simple motion.,"Dated visual quality, visible artifacting on fast motion, no audio.","Cheap drafts, effects presets, elements-based multi-subject experiments.",Client deliverables at 2026 quality bars.
fal-ai/kling-video/v1.6/standard/effects,Kling 1.6,Kling,text-to-video,3.36,$0.056/s x 60s,240,"5, 10 s",fixed,fixed,No,Yes (multi-image / reference),No,No — single shot,generate,No,Cheap workhorse with an 'elements' mode for multi-subject composition; still fine for simple motion.,"Dated visual quality, visible artifacting on fast motion, no audio.","Cheap drafts, effects presets, elements-based multi-subject experiments.",Client deliverables at 2026 quality bars.
fal-ai/kling-video/v1.6/standard/elements,Kling 1.6,Kling,image-to-video,3.36,$0.056/s x 60s,240,"5, 10 s",fixed,"16:9, 9:16, 1:1",No,Yes (multi-image / reference),No,No — single shot,generate,No,Cheap workhorse with an 'elements' mode for multi-subject composition; still fine for simple motion.,"Dated visual quality, visible artifacting on fast motion, no audio.","Cheap drafts, effects presets, elements-based multi-subject experiments.",Client deliverables at 2026 quality bars.
fal-ai/kling-video/v1.6/standard/image-to-video,Kling 1.6,Kling,image-to-video,3.36,$0.056/s x 60s,240,"5, 10 s",fixed,inherits input image,No,Yes,No,No — single shot,generate,No,Cheap workhorse with an 'elements' mode for multi-subject composition; still fine for simple motion.,"Dated visual quality, visible artifacting on fast motion, no audio.","Cheap drafts, effects presets, elements-based multi-subject experiments.",Client deliverables at 2026 quality bars.
fal-ai/kling-video/v1.6/standard/text-to-video,Kling 1.6,Kling,text-to-video,3.36,$0.056/s x 60s,240,"5, 10 s",fixed,"16:9, 9:16, 1:1",No,No (text-only),No,No — single shot,generate,No,Cheap workhorse with an 'elements' mode for multi-subject composition; still fine for simple motion.,"Dated visual quality, visible artifacting on fast motion, no audio.","Cheap drafts, effects presets, elements-based multi-subject experiments.",Client deliverables at 2026 quality bars.
fal-ai/kling-video/v2/master/image-to-video,Kling 2.0,Kling,image-to-video,16.8,$1.4/5s + $0.28/extra s,240,"5, 10 s",fixed,inherits input image,No,Yes,No,No — single shot,generate,No,"Master-grade visuals with simple, stable API; good for period/cinematic looks.","Legacy — no audio, no multi-shot, priced above newer and better tiers.",Period/cinematic mood pieces on a legacy pipeline you already trust.,Anything new — superseded across the board.
fal-ai/kling-video/v2/master/text-to-video,Kling 2.0,Kling,text-to-video,16.8,$1.4/5s + $0.28/extra s,240,"5, 10 s",fixed,"16:9, 9:16, 1:1",No,No (text-only),No,No — single shot,generate,No,"Master-grade visuals with simple, stable API; good for period/cinematic looks.","Legacy — no audio, no multi-shot, priced above newer and better tiers.",Period/cinematic mood pieces on a legacy pipeline you already trust.,Anything new — superseded across the board.
fal-ai/kling-video/v2.1/master/image-to-video,Kling 2.1,Kling,image-to-video,16.8,$1.4/5s + $0.28/extra s,240,"5, 10 s",fixed,inherits input image,No,Yes,No,No — single shot,generate,No,Master tier still has the most cinematic look of the older Kling generations; three price tiers (std/pro/master) for the same API shape.,"Master is expensive ($1.40/5s), no audio, and superseded by 2.5T/3 on both price and quality.",Cinematic single shots where the Master look still earns its fee; drafts on std/pro tiers.,New pipelines — 2.5T/3 beat it on both price and quality for every scenario.
fal-ai/kling-video/v2.1/master/text-to-video,Kling 2.1,Kling,text-to-video,16.8,$1.4/5s + $0.28/extra s,240,"5, 10 s",fixed,"16:9, 9:16, 1:1",No,No (text-only),No,No — single shot,generate,No,Master tier still has the most cinematic look of the older Kling generations; three price tiers (std/pro/master) for the same API shape.,"Master is expensive ($1.40/5s), no audio, and superseded by 2.5T/3 on both price and quality.",Cinematic single shots where the Master look still earns its fee; drafts on std/pro tiers.,New pipelines — 2.5T/3 beat it on both price and quality for every scenario.
fal-ai/kling-video/v2.1/pro/image-to-video,Kling 2.1,Kling,image-to-video,5.88,$0.49/5s + $0.098/extra s,240,"5, 10 s",fixed,inherits input image,No,Yes,Yes,No — single shot,generate,No,Master tier still has the most cinematic look of the older Kling generations; three price tiers (std/pro/master) for the same API shape.,"Master is expensive ($1.40/5s), no audio, and superseded by 2.5T/3 on both price and quality.",Cinematic single shots where the Master look still earns its fee; drafts on std/pro tiers.,New pipelines — 2.5T/3 beat it on both price and quality for every scenario.
fal-ai/kling-video/v2.1/standard/image-to-video,Kling 2.1,Kling,image-to-video,3.36,$0.28/5s + $0.056/extra s,240,"5, 10 s",fixed,inherits input image,No,Yes,No,No — single shot,generate,No,Master tier still has the most cinematic look of the older Kling generations; three price tiers (std/pro/master) for the same API shape.,"Master is expensive ($1.40/5s), no audio, and superseded by 2.5T/3 on both price and quality.",Cinematic single shots where the Master look still earns its fee; drafts on std/pro tiers.,New pipelines — 2.5T/3 beat it on both price and quality for every scenario.
fal-ai/kling-video/v2.5-turbo/pro/image-to-video,Kling 2.5T,Kling,image-to-video,4.2,$0.35/5s + $0.07/extra s,240,"5, 10 s",fixed,inherits input image,No,Yes,Yes,No — single shot,generate,No,Excellent motion fluidity and prompt precision at a low flat rate — topped the Artificial Analysis arena at release at ~10x less than Veo; the value pick in the Kling line.,"No audio at all, 5 s/10 s only, and noticeably aggressive content moderation rejects borderline prompts.",High-volume social content and rapid creative iteration — the bulk-work default; silent b-roll and motion studies at the best quality-per-dollar.,"Anything sound-led, edgy or sensitive briefs (moderation rejects a lot), beats longer than 10 s."
fal-ai/kling-video/v2.5-turbo/pro/text-to-video,Kling 2.5T,Kling,text-to-video,4.2,$0.35/5s + $0.07/extra s,240,"5, 10 s",fixed,"16:9, 9:16, 1:1",No,No (text-only),No,No — single shot,generate,No,Excellent motion fluidity and prompt precision at a low flat rate — topped the Artificial Analysis arena at release at ~10x less than Veo; the value pick in the Kling line.,"No audio at all, 5 s/10 s only, and noticeably aggressive content moderation rejects borderline prompts.",High-volume social content and rapid creative iteration — the bulk-work default; silent b-roll and motion studies at the best quality-per-dollar.,"Anything sound-led, edgy or sensitive briefs (moderation rejects a lot), beats longer than 10 s."
fal-ai/kling-video/v2.5-turbo/standard/image-to-video,Kling 2.5T,Kling,image-to-video,2.52,$0.21/5s + $0.042/extra s,240,"5, 10 s",fixed,inherits input image,No,Yes,No,No — single shot,generate,No,Excellent motion fluidity and prompt precision at a low flat rate — topped the Artificial Analysis arena at release at ~10x less than Veo; the value pick in the Kling line.,"No audio at all, 5 s/10 s only, and noticeably aggressive content moderation rejects borderline prompts.",High-volume social content and rapid creative iteration — the bulk-work default; silent b-roll and motion studies at the best quality-per-dollar.,"Anything sound-led, edgy or sensitive briefs (moderation rejects a lot), beats longer than 10 s."
fal-ai/kling-video/v2.6/pro/image-to-video,Kling 2.6,Kling,image-to-video,4.2,$0.07/s x 60s,240,"5, 10 s",fixed,inherits input image,Yes — native generation,Yes,Yes,No — single shot,generate,No,Cheapest Kling tier with native audio ($0.07/s audio-off). Good quality-per-dollar for social content.,"No multi-shot, no explicit resolution control, and audio doubles the price.","Budget social ads with ambient audio or voiceover, fashion and product b-roll with sound.","Multi-shot narratives, precisely timed dialogue, 4K deliverables."
fal-ai/kling-video/v2.6/pro/motion-control,Kling 2.6,Kling,video-to-video,6.72,$0.112/s x 60s,,fixed / not exposed,fixed,fixed,No,Yes,No,No — single shot,edit/restyle,No,Cheapest Kling tier with native audio ($0.07/s audio-off). Good quality-per-dollar for social content.,"No multi-shot, no explicit resolution control, and audio doubles the price.","Budget social ads with ambient audio or voiceover, fashion and product b-roll with sound.","Multi-shot narratives, precisely timed dialogue, 4K deliverables."
fal-ai/kling-video/v2.6/pro/text-to-video,Kling 2.6,Kling,text-to-video,4.2,$0.07/s audio-off x 60s; audio-on $8.40/min,240,"5, 10 s",fixed,"16:9, 9:16, 1:1",Yes — native generation,No (text-only),No,No — single shot,generate,No,Cheapest Kling tier with native audio ($0.07/s audio-off). Good quality-per-dollar for social content.,"No multi-shot, no explicit resolution control, and audio doubles the price.","Budget social ads with ambient audio or voiceover, fashion and product b-roll with sound.","Multi-shot narratives, precisely timed dialogue, 4K deliverables."
fal-ai/kling-video/v2.6/standard/motion-control,Kling 2.6,Kling,video-to-video,4.2,$0.07/s x 60s,,fixed / not exposed,fixed,fixed,No,Yes,No,No — single shot,edit/restyle,No,Cheapest Kling tier with native audio ($0.07/s audio-off). Good quality-per-dollar for social content.,"No multi-shot, no explicit resolution control, and audio doubles the price.","Budget social ads with ambient audio or voiceover, fashion and product b-roll with sound.","Multi-shot narratives, precisely timed dialogue, 4K deliverables."
fal-ai/kling-video/v3/4k/image-to-video,Kling 3,Kling,image-to-video,25.2,$0.42/s x 60s,360,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14 (+1) s",4k (from docs),inherits input image,Yes — native generation,Yes,Yes,Yes — native multi-shot,generate,Yes — dialogue via prompt (native audio),Native multi-shot (multi_prompt + shot_type) up to 15s with native audio — rare combination. Strong cinematic motion and camera language.,Audio-on roughly doubles cost. No resolution selector on the endpoint; 4K is a separate pricier endpoint.,"Short films and AI dramas with real cut structure, product reveals with per-shot direction, trailers and music videos — multi-shot prompting does coverage a single-take model can't.","Bulk social iteration (2.5T is faster and cheaper), dialogue scenes running past ~3 shots where face drift accumulates, pixel-exact brand frames."
fal-ai/kling-video/v3/4k/text-to-video,Kling 3,Kling,text-to-video,25.2,$0.42/s x 60s,360,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14 (+1) s",4k (from docs),"16:9, 9:16, 1:1",Yes — native generation,No (text-only),No,Yes — native multi-shot,generate,Yes — dialogue via prompt (native audio),Native multi-shot (multi_prompt + shot_type) up to 15s with native audio — rare combination. Strong cinematic motion and camera language.,Audio-on roughly doubles cost. No resolution selector on the endpoint; 4K is a separate pricier endpoint.,"Short films and AI dramas with real cut structure, product reveals with per-shot direction, trailers and music videos — multi-shot prompting does coverage a single-take model can't.","Bulk social iteration (2.5T is faster and cheaper), dialogue scenes running past ~3 shots where face drift accumulates, pixel-exact brand frames."
fal-ai/kling-video/v3/pro/image-to-video,Kling 3,Kling,image-to-video,6.72,$0.112/s audio-off x 60s; audio-on $10.08/min,360,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14 (+1) s",fixed,inherits input image,Yes — native generation,Yes,Yes,Yes — native multi-shot,generate,No,Native multi-shot (multi_prompt + shot_type) up to 15s with native audio — rare combination. Strong cinematic motion and camera language.,Audio-on roughly doubles cost. No resolution selector on the endpoint; 4K is a separate pricier endpoint.,"Short films and AI dramas with real cut structure, product reveals with per-shot direction, trailers and music videos — multi-shot prompting does coverage a single-take model can't.","Bulk social iteration (2.5T is faster and cheaper), dialogue scenes running past ~3 shots where face drift accumulates, pixel-exact brand frames."
fal-ai/kling-video/v3/pro/motion-control,Kling 3,Kling,video-to-video,10.08,$0.168/s x 60s,,fixed / not exposed,fixed,fixed,No,Yes,No,Partial — keyframe/element chaining,edit/restyle,No,Native multi-shot (multi_prompt + shot_type) up to 15s with native audio — rare combination. Strong cinematic motion and camera language.,Audio-on roughly doubles cost. No resolution selector on the endpoint; 4K is a separate pricier endpoint.,"Short films and AI dramas with real cut structure, product reveals with per-shot direction, trailers and music videos — multi-shot prompting does coverage a single-take model can't.","Bulk social iteration (2.5T is faster and cheaper), dialogue scenes running past ~3 shots where face drift accumulates, pixel-exact brand frames."
fal-ai/kling-video/v3/pro/text-to-video,Kling 3,Kling,text-to-video,6.72,$0.112/s audio-off x 60s; audio-on $10.08/min,360,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14 (+1) s",fixed,"16:9, 9:16, 1:1",Yes — native generation,No (text-only),No,Yes — native multi-shot,generate,No,Native multi-shot (multi_prompt + shot_type) up to 15s with native audio — rare combination. Strong cinematic motion and camera language.,Audio-on roughly doubles cost. No resolution selector on the endpoint; 4K is a separate pricier endpoint.,"Short films and AI dramas with real cut structure, product reveals with per-shot direction, trailers and music videos — multi-shot prompting does coverage a single-take model can't.","Bulk social iteration (2.5T is faster and cheaper), dialogue scenes running past ~3 shots where face drift accumulates, pixel-exact brand frames."
fal-ai/kling-video/v3/standard/image-to-video,Kling 3,Kling,image-to-video,5.04,$0.084/s audio-off x 60s; audio-on $7.56/min,360,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14 (+1) s",fixed,inherits input image,Yes — native generation,Yes,Yes,Yes — native multi-shot,generate,No,Native multi-shot (multi_prompt + shot_type) up to 15s with native audio — rare combination. Strong cinematic motion and camera language.,Audio-on roughly doubles cost. No resolution selector on the endpoint; 4K is a separate pricier endpoint.,"Short films and AI dramas with real cut structure, product reveals with per-shot direction, trailers and music videos — multi-shot prompting does coverage a single-take model can't.","Bulk social iteration (2.5T is faster and cheaper), dialogue scenes running past ~3 shots where face drift accumulates, pixel-exact brand frames."
fal-ai/kling-video/v3/standard/motion-control,Kling 3,Kling,video-to-video,7.56,$0.126/s x 60s,,fixed / not exposed,fixed,fixed,No,Yes,No,Partial — keyframe/element chaining,edit/restyle,No,Native multi-shot (multi_prompt + shot_type) up to 15s with native audio — rare combination. Strong cinematic motion and camera language.,Audio-on roughly doubles cost. No resolution selector on the endpoint; 4K is a separate pricier endpoint.,"Short films and AI dramas with real cut structure, product reveals with per-shot direction, trailers and music videos — multi-shot prompting does coverage a single-take model can't.","Bulk social iteration (2.5T is faster and cheaper), dialogue scenes running past ~3 shots where face drift accumulates, pixel-exact brand frames."
