Endpoint,Family,Lab,Type,USD/min output,Price basis,Max duration s,Duration options,Voices,Languages,Voice clone?,Lyrics?,Audio input?,Output formats,Strongest side,Weakest side,Strongest use-cases,Weakest use-cases
fal-ai/personaplex/realtime,PersonaPlex,,a2a,,billed per GPU compute-second,,follows input audio,18 preset voices,—,No,No,No,default,Persona-conditioned conversational voice.,Early.,Voice-agent prototypes.,Broadcast polish.
alibaba/qwen-audio-3-tts,Qwen TTS,Alibaba,tts,,,,follows text length,45 preset voices,11 languages,No,No,No,default,Alibaba's TTS line incl. ultra-cheap voice-clone tiers (~$0.0008/min).,Mandarin-first quality; English prosody flatter.,"Massive-scale cheap narration, CJK voice products.",Premium English brand voices.
fal-ai/qwen-3-tts/clone-voice/0.6b,Qwen TTS,Alibaba,tts,0.0007,$0.0007/min,,follows text length,—,—,Yes,No,Yes,default,Alibaba's TTS line incl. ultra-cheap voice-clone tiers (~$0.0008/min).,Mandarin-first quality; English prosody flatter.,"Massive-scale cheap narration, CJK voice products.",Premium English brand voices.
fal-ai/qwen-3-tts/clone-voice/1.7b,Qwen TTS,Alibaba,tts,0.0008,$0.0008/min,,follows text length,—,—,Yes,No,Yes,default,Alibaba's TTS line incl. ultra-cheap voice-clone tiers (~$0.0008/min).,Mandarin-first quality; English prosody flatter.,"Massive-scale cheap narration, CJK voice products.",Premium English brand voices.
fal-ai/qwen-3-tts/text-to-speech/0.6b,Qwen TTS,Alibaba,tts,0.0525,$0.07/1k chars x ~750 chars/min speech,,follows text length,9 preset voices,11 languages,Yes,No,No,default,Alibaba's TTS line incl. ultra-cheap voice-clone tiers (~$0.0008/min).,Mandarin-first quality; English prosody flatter.,"Massive-scale cheap narration, CJK voice products.",Premium English brand voices.
fal-ai/qwen-3-tts/text-to-speech/1.7b,Qwen TTS,Alibaba,tts,0.0675,$0.09/1k chars x ~750 chars/min speech,,follows text length,9 preset voices,11 languages,Yes,No,No,default,Alibaba's TTS line incl. ultra-cheap voice-clone tiers (~$0.0008/min).,Mandarin-first quality; English prosody flatter.,"Massive-scale cheap narration, CJK voice products.",Premium English brand voices.
fal-ai/qwen-3-tts/voice-design/1.7b,Qwen TTS,Alibaba,tts,0.0675,$0.09/1k chars x ~750 chars/min speech,,follows text length,—,11 languages,Yes,No,No,default,Alibaba's TTS line incl. ultra-cheap voice-clone tiers (~$0.0008/min).,Mandarin-first quality; English prosody flatter.,"Massive-scale cheap narration, CJK voice products.",Premium English brand voices.
fal-ai/sam-audio/separate,SAM Audio,,a2a,0.1,$0.05/30s -> x60,,follows input audio,—,—,No,No,Yes,"wav, mp3",Segment-anything-for-audio: isolate any source by text prompt.,Separation only.,Dialogue/music/FX stem extraction.,Generation.
fal-ai/sam-audio/span-separate,SAM Audio,,a2a,0.1,$0.05/30s -> x60,,follows input audio,—,—,No,No,Yes,"wav, mp3",Segment-anything-for-audio: isolate any source by text prompt.,Separation only.,Dialogue/music/FX stem extraction.,Generation.
fal-ai/csm-1b,Sesame CSM,,sfx,0.0225,$0.03/1k chars x ~750 chars/min speech,,model default,—,—,No,No,No,default,Open conversational speech model with context-aware prosody.,Research-grade stability.,Voice-agent research.,Production narration.
sonilo/v1.1/text-to-music,Sonilo,Sonilo,music,0.15,$0.0025/s x 60,600,1–600 s,—,—,No,No,No,default,Music generation focused on loops/beds.,Small player.,Background loops.,Vocal music.
sonilo/v1.1/text-to-sound-effects,Sonilo,Sonilo,sfx,0.108,$0.0018/s x 60,180,1–180 s,—,—,No,No,No,default,Music generation focused on loops/beds.,Small player.,Background loops.,Vocal music.
fal-ai/stable-audio,Stable Audio,Stability AI,sfx,,billed per GPU compute-second,,model default,—,—,No,No,No,default,"Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-25/audio-to-audio,Stable Audio,Stability AI,a2a,0.0632,$0.2 per clip / 190s default -> $/min,,follows input audio,—,—,No,No,Yes,default,"Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-25/inpaint,Stable Audio,Stability AI,a2a,0.0632,$0.2 per clip / 190s default -> $/min,,follows input audio,—,—,No,No,Yes,default,"Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-25/text-to-audio,Stable Audio,Stability AI,music,0.0632,$0.2 per clip / 190s default -> $/min,,model default,—,—,No,No,No,default,"Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-3/medium/audio-inpainting,Stable Audio,Stability AI,a2a,,$0.0442 flat per clip (length not exposed),,follows input audio,—,—,No,No,Yes,"mp3, wav, flac, ogg, opus, m4a, aac","Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-3/medium/audio-outpainting,Stable Audio,Stability AI,a2a,,$0.0446 flat per clip (length not exposed),,follows input audio,—,—,No,No,Yes,"mp3, wav, flac, ogg, opus, m4a, aac","Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-3/medium/audio-to-audio,Stable Audio,Stability AI,a2a,0.0834,$0.0417 per clip / 30s default -> $/min,380,1–380 s,—,—,No,No,Yes,"mp3, wav, flac, ogg, opus, m4a, aac","Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-3/medium/base/audio-inpainting,Stable Audio,Stability AI,a2a,,$0.0537 flat per clip (length not exposed),,follows input audio,—,—,No,No,Yes,"mp3, wav, flac, ogg, opus, m4a, aac","Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-3/medium/base/audio-outpainting,Stable Audio,Stability AI,a2a,,$0.0554 flat per clip (length not exposed),,follows input audio,—,—,No,No,Yes,"mp3, wav, flac, ogg, opus, m4a, aac","Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-3/medium/base/audio-to-audio,Stable Audio,Stability AI,a2a,0.1046,$0.0523 per clip / 30s default -> $/min,380,1–380 s,—,—,No,No,Yes,"mp3, wav, flac, ogg, opus, m4a, aac","Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-3/medium/base/text-to-audio,Stable Audio,Stability AI,music,0.0958,$0.0479 per clip / 30s default -> $/min,380,1–380 s,—,—,No,No,No,"mp3, wav, flac, ogg, opus, m4a, aac","Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-3/medium/text-to-audio,Stable Audio,Stability AI,music,0.0752,$0.0376 per clip / 30s default -> $/min,380,1–380 s,—,—,No,No,No,"mp3, wav, flac, ogg, opus, m4a, aac","Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-3/small/music/audio-inpainting,Stable Audio,Stability AI,a2a,,$0.026 flat per clip (length not exposed),,follows input audio,—,—,No,No,Yes,"mp3, wav, flac, ogg, opus, m4a, aac","Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-3/small/music/audio-outpainting,Stable Audio,Stability AI,a2a,,$0.0265 flat per clip (length not exposed),,follows input audio,—,—,No,No,Yes,"mp3, wav, flac, ogg, opus, m4a, aac","Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-3/small/music/audio-to-audio,Stable Audio,Stability AI,a2a,0.0496,$0.0248 per clip / 30s default -> $/min,120,1–120 s,—,—,No,No,Yes,"mp3, wav, flac, ogg, opus, m4a, aac","Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-3/small/music/base/audio-inpainting,Stable Audio,Stability AI,a2a,,$0.0333 flat per clip (length not exposed),,follows input audio,—,—,No,No,Yes,"mp3, wav, flac, ogg, opus, m4a, aac","Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-3/small/music/base/audio-outpainting,Stable Audio,Stability AI,a2a,,$0.0339 flat per clip (length not exposed),,follows input audio,—,—,No,No,Yes,"mp3, wav, flac, ogg, opus, m4a, aac","Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-3/small/music/base/audio-to-audio,Stable Audio,Stability AI,a2a,0.064,$0.032 per clip / 30s default -> $/min,120,1–120 s,—,—,No,No,Yes,"mp3, wav, flac, ogg, opus, m4a, aac","Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-3/small/music/base/text-to-audio,Stable Audio,Stability AI,music,0.0562,$0.0281 per clip / 30s default -> $/min,120,1–120 s,—,—,No,No,No,"mp3, wav, flac, ogg, opus, m4a, aac","Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-3/small/music/text-to-audio,Stable Audio,Stability AI,music,0.0434,$0.0217 per clip / 30s default -> $/min,120,1–120 s,—,—,No,No,No,"mp3, wav, flac, ogg, opus, m4a, aac","Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-3/small/sfx/audio-inpainting,Stable Audio,Stability AI,a2a,,$0.0259 flat per clip (length not exposed),,follows input audio,—,—,No,No,Yes,"mp3, wav, flac, ogg, opus, m4a, aac","Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-3/small/sfx/audio-outpainting,Stable Audio,Stability AI,a2a,,$0.0271 flat per clip (length not exposed),,follows input audio,—,—,No,No,Yes,"mp3, wav, flac, ogg, opus, m4a, aac","Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-3/small/sfx/audio-to-audio,Stable Audio,Stability AI,a2a,0.048,$0.024 per clip / 30s default -> $/min,120,1–120 s,—,—,No,No,Yes,"mp3, wav, flac, ogg, opus, m4a, aac","Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-3/small/sfx/base/audio-inpainting,Stable Audio,Stability AI,a2a,,$0.0331 flat per clip (length not exposed),,follows input audio,—,—,No,No,Yes,"mp3, wav, flac, ogg, opus, m4a, aac","Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-3/small/sfx/base/audio-outpainting,Stable Audio,Stability AI,a2a,,$0.0337 flat per clip (length not exposed),,follows input audio,—,—,No,No,Yes,"mp3, wav, flac, ogg, opus, m4a, aac","Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-3/small/sfx/base/audio-to-audio,Stable Audio,Stability AI,a2a,0.063,$0.0315 per clip / 30s default -> $/min,120,1–120 s,—,—,No,No,Yes,"mp3, wav, flac, ogg, opus, m4a, aac","Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-3/small/sfx/base/text-to-audio,Stable Audio,,sfx,0.0566,$0.0283 per clip / 30s default -> $/min,120,1–120 s,—,—,No,No,No,"mp3, wav, flac, ogg, opus, m4a, aac","Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/stable-audio-3/small/sfx/text-to-audio,Stable Audio,Stability AI,sfx,0.0412,$0.0206 per clip / 30s default -> $/min,120,1–120 s,—,—,No,No,No,"mp3, wav, flac, ogg, opus, m4a, aac","Open-weights latent-diffusion family (small/medium) trained on fully licensed Warner/Universal data; t2a, a2a, inpaint/outpaint; up to ~6 min output; LoRA support.",Deliberately instrumental-only — no vocals; small tiers trade fidelity for speed.,"Royalty-clean instrumental beds, SFX design, editing/extending existing audio, self-hosted pipelines.","Songs with vocals, lyric-driven tracks."
fal-ai/tada/1b/text-to-speech,Tada TTS,Hume AI,tts,0.0375,$0.05/1k chars x ~750 chars/min speech,,follows text length,—,10 languages,Yes,No,Yes,"wav, mp3",Lightweight TTS.,Thin docs.,Cheap experiments.,Production.
fal-ai/tada/3b/text-to-speech,Tada TTS,,tts,0.06,$0.08/1k chars x ~750 chars/min speech,,follows text length,—,10 languages,Yes,No,Yes,"wav, mp3",Lightweight TTS.,Thin docs.,Cheap experiments.,Production.
fal-ai/vibevoice,VibeVoice,,tts,0.04,$0.04/min,,follows text length,—,—,No,No,No,default,"Microsoft's long-form multi-speaker TTS (up to 90 min, 4 speakers) — podcast-grade.",0.5B tier is flat; big tier is slow.,"Podcast/dialogue synthesis, audiobook chapters in one pass.","Single short lines (overkill), cloning."
fal-ai/vibevoice/0.5b,VibeVoice,,tts,0.02,$0.02/min,,follows text length,—,—,No,No,No,default,"Microsoft's long-form multi-speaker TTS (up to 90 min, 4 speakers) — podcast-grade.",0.5B tier is flat; big tier is slow.,"Podcast/dialogue synthesis, audiobook chapters in one pass.","Single short lines (overkill), cloning."
fal-ai/vibevoice/7b,VibeVoice,,tts,0.04,$0.04/min,,follows text length,—,—,No,No,No,default,"Microsoft's long-form multi-speaker TTS (up to 90 min, 4 speakers) — podcast-grade.",0.5B tier is flat; big tier is slow.,"Podcast/dialogue synthesis, audiobook chapters in one pass.","Single short lines (overkill), cloning."
fal-ai/zonos,Zonos,,sfx,0.0375,$0.05/1k chars x ~750 chars/min speech,,model default,—,—,Yes,No,Yes,default,Open TTS with cloning + emotion control (v1/v2).,Quality below Chatterbox on blind tests.,Self-hosted cloning on a budget.,Premium reads.
fal-ai/zonos2,Zonos,Zyphra,tts,0.01,$0.01/min,,follows text length,—,—,Yes,No,Yes,default,Open TTS with cloning + emotion control (v1/v2).,Quality below Chatterbox on blind tests.,Self-hosted cloning on a budget.,Premium reads.
xai/tts/v1,xAI TTS,xAI,tts,0.0112,$0.015/1k chars x ~750 chars/min speech,,follows text length,5 preset voices,21 languages,No,No,No,default,Grok-stack TTS.,Young; moved out of beta with price hike.,X-ecosystem apps.,Standalone TTS value.
