Endpoint,Family,Lab,Type,USD/image @1MP,Price basis,Max MP,Size options,Aspect ratios,Image input?,Mask/inpaint?,LoRA?,Style/ref?,Batch max,Strongest side,Weakest side,Strongest use-cases,Weakest use-cases
fal-ai/flux-1/srpo/image-to-image,FLUX.1,Black Forest Labs,i2i,0.025,$0.025/MP x 1MP,,fixed,fixed,Yes,No,No,No,4,"The workhorse open family (dev/schnell): huge ecosystem, predictable quality, cheap and fast.",Superseded by FLUX.2 on realism and text; weak hands/fine anatomy by 2026 standards.,"High-volume drafts, LoRA-based pipelines, self-hosted products already built on FLUX.1.","Frontier-quality client work, accurate long text."
fal-ai/flux-pulid,FLUX.1,Black Forest Labs,i2i,0.0333,$0.0333/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,1,"The workhorse open family (dev/schnell): huge ecosystem, predictable quality, cheap and fast.",Superseded by FLUX.2 on realism and text; weak hands/fine anatomy by 2026 standards.,"High-volume drafts, LoRA-based pipelines, self-hosted products already built on FLUX.1.","Frontier-quality client work, accurate long text."
fal-ai/flux-subject,FLUX.1,Black Forest Labs,t2i,0.04,$0.04/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,No,4,"The workhorse open family (dev/schnell): huge ecosystem, predictable quality, cheap and fast.",Superseded by FLUX.2 on realism and text; weak hands/fine anatomy by 2026 standards.,"High-volume drafts, LoRA-based pipelines, self-hosted products already built on FLUX.1.","Frontier-quality client work, accurate long text."
fal-ai/flux-vision-upscaler,FLUX.1,Black Forest Labs,i2i,0.1,$0.1/MP x 1MP,,fixed,fixed,Yes,No,No,No,1,"The workhorse open family (dev/schnell): huge ecosystem, predictable quality, cheap and fast.",Superseded by FLUX.2 on realism and text; weak hands/fine anatomy by 2026 standards.,"High-volume drafts, LoRA-based pipelines, self-hosted products already built on FLUX.1.","Frontier-quality client work, accurate long text."
fal-ai/flux/dev,FLUX.1,Black Forest Labs,t2i,0.025,$0.025/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,"The workhorse open family (dev/schnell): huge ecosystem, predictable quality, cheap and fast.",Superseded by FLUX.2 on realism and text; weak hands/fine anatomy by 2026 standards.,"High-volume drafts, LoRA-based pipelines, self-hosted products already built on FLUX.1.","Frontier-quality client work, accurate long text."
fal-ai/flux/dev/image-to-image,FLUX.1,Black Forest Labs,i2i,0.03,$0.03/MP x 1MP,,fixed,fixed,Yes,No,No,No,4,"The workhorse open family (dev/schnell): huge ecosystem, predictable quality, cheap and fast.",Superseded by FLUX.2 on realism and text; weak hands/fine anatomy by 2026 standards.,"High-volume drafts, LoRA-based pipelines, self-hosted products already built on FLUX.1.","Frontier-quality client work, accurate long text."
fal-ai/flux/dev/redux,FLUX.1,Black Forest Labs,i2i,0.025,$0.025/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,No,4,"The workhorse open family (dev/schnell): huge ecosystem, predictable quality, cheap and fast.",Superseded by FLUX.2 on realism and text; weak hands/fine anatomy by 2026 standards.,"High-volume drafts, LoRA-based pipelines, self-hosted products already built on FLUX.1.","Frontier-quality client work, accurate long text."
fal-ai/flux/schnell,FLUX.1,Black Forest Labs,t2i,0.003,$0.003/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,"The workhorse open family (dev/schnell): huge ecosystem, predictable quality, cheap and fast.",Superseded by FLUX.2 on realism and text; weak hands/fine anatomy by 2026 standards.,"High-volume drafts, LoRA-based pipelines, self-hosted products already built on FLUX.1.","Frontier-quality client work, accurate long text."
fal-ai/flux/schnell/redux,FLUX.1,Black Forest Labs,i2i,0.025,$0.025/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,No,4,"The workhorse open family (dev/schnell): huge ecosystem, predictable quality, cheap and fast.",Superseded by FLUX.2 on realism and text; weak hands/fine anatomy by 2026 standards.,"High-volume drafts, LoRA-based pipelines, self-hosted products already built on FLUX.1.","Frontier-quality client work, accurate long text."
fal-ai/flux/srpo,FLUX.1,Black Forest Labs,t2i,0.025,$0.025/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,"The workhorse open family (dev/schnell): huge ecosystem, predictable quality, cheap and fast.",Superseded by FLUX.2 on realism and text; weak hands/fine anatomy by 2026 standards.,"High-volume drafts, LoRA-based pipelines, self-hosted products already built on FLUX.1.","Frontier-quality client work, accurate long text."
fal-ai/flux/srpo/image-to-image,FLUX.1,Black Forest Labs,i2i,0.025,$0.025/MP x 1MP,,fixed,fixed,Yes,No,No,No,4,"The workhorse open family (dev/schnell): huge ecosystem, predictable quality, cheap and fast.",Superseded by FLUX.2 on realism and text; weak hands/fine anatomy by 2026 standards.,"High-volume drafts, LoRA-based pipelines, self-hosted products already built on FLUX.1.","Frontier-quality client work, accurate long text."
fal-ai/flux-2,FLUX.2,Black Forest Labs,t2i,0.012,$0.012/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2-flex,FLUX.2,Black Forest Labs,t2i,0.05,$0.05/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,1,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2-flex/edit,FLUX.2,Black Forest Labs,i2i,0.05,$0.05/MP x 1MP,1.1,"auto, square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,No,1,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2-lora-gallery/add-background,FLUX.2,Black Forest Labs,i2i,0.021,$0.021 (parsed loosely),1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2-lora-gallery/apartment-staging,FLUX.2,Black Forest Labs,i2i,0.021,$0.021 (parsed loosely),1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2-lora-gallery/ballpoint-pen-sketch,FLUX.2,Black Forest Labs,t2i,0.021,$0.021/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2-lora-gallery/digital-comic-art,FLUX.2,Black Forest Labs,t2i,0.021,$0.021/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2-lora-gallery/face-to-full-portrait,FLUX.2,Black Forest Labs,i2i,0.021,$0.021 (parsed loosely),1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2-lora-gallery/hdr-style,FLUX.2,Black Forest Labs,t2i,0.021,$0.021/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2-lora-gallery/multiple-angles,FLUX.2,Black Forest Labs,i2i,0.021,$0.021 (parsed loosely),1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2-lora-gallery/realism,FLUX.2,Black Forest Labs,t2i,0.021,$0.021/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2-lora-gallery/satellite-view-style,FLUX.2,Black Forest Labs,t2i,0.021,$0.021/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2-lora-gallery/sepia-vintage,FLUX.2,Black Forest Labs,t2i,0.021,$0.021/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2-lora-gallery/virtual-tryon,FLUX.2,Black Forest Labs,i2i,0.021,$0.021 (parsed loosely),1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2-max,FLUX.2,Black Forest Labs,t2i,0.07,$0.07 (parsed loosely),1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,1,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2-max/edit,FLUX.2,Black Forest Labs,i2i,0.07,$0.07 (parsed loosely),1.1,"auto, square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,No,1,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2-pro,FLUX.2,Black Forest Labs,t2i,0.03,$0.03 first MP out,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,1,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2-pro/edit,FLUX.2,Black Forest Labs,i2i,0.045,$0.03 first MP out + $0.015 1MP input,1.1,"auto, square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,No,1,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2-pro/outpaint,FLUX.2,Black Forest Labs,i2i,0.045,$0.03 first MP out + $0.015 1MP input,,fixed,fixed,Yes,No,No,No,1,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2/edit,FLUX.2,Black Forest Labs,i2i,0.024,$0.012/MP x 2MP (1 in + 1 out),1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2/flash,FLUX.2,Black Forest Labs,t2i,0.005,$0.005/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2/flash/edit,FLUX.2,Black Forest Labs,i2i,0.01,$0.005/MP x 2MP (1 in + 1 out),1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2/klein/4b,FLUX.2,Black Forest Labs,t2i,0.005,$0.005/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2/klein/4b/base,FLUX.2,Black Forest Labs,t2i,0.009,$0.009/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2/klein/4b/base/edit,FLUX.2,Black Forest Labs,i2i,0.018,$0.009/MP x 2MP (1 in + 1 out),1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2/klein/4b/base/edit/lora,FLUX.2,Black Forest Labs,i2i,0.032,$0.016/MP x 2MP (1 in + 1 out),1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,Yes,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2/klein/4b/base/lora,FLUX.2,Black Forest Labs,t2i,0.016,$0.016/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,Yes,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2/klein/4b/edit,FLUX.2,Black Forest Labs,i2i,0.01,$0.01/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2/klein/4b/edit/lora,FLUX.2,Black Forest Labs,i2i,0.02,$0.01/MP x 2MP (1 in + 1 out),1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,Yes,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2/klein/4b/lora,FLUX.2,Black Forest Labs,t2i,0.01,$0.01/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,Yes,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2/klein/9b,FLUX.2,Black Forest Labs,t2i,0.006,$0.006/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2/klein/9b/base,FLUX.2,Black Forest Labs,t2i,0.011,$0.011/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2/klein/9b/base/edit,FLUX.2,Black Forest Labs,i2i,0.022,$0.011/MP x 2MP (1 in + 1 out),1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2/klein/9b/base/edit/lora,FLUX.2,Black Forest Labs,i2i,0.04,$0.02/MP x 2MP (1 in + 1 out),1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,Yes,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2/klein/9b/base/lora,FLUX.2,Black Forest Labs,t2i,0.02,$0.02/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,Yes,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2/klein/9b/edit,FLUX.2,Black Forest Labs,i2i,0.022,$0.011/MP x 2MP (1 in + 1 out),1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
fal-ai/flux-2/klein/9b/edit/lora,FLUX.2,Black Forest Labs,i2i,0.03,$0.015/MP x 2MP (1 in + 1 out),1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,Yes,No,4,"BFL's frontier line: top-tier photorealism, texture and dense typography, up to 4MP output and 10 reference images, with per-megapixel pricing and draft tiers.","Reference images bill separately (~$0.03/MP each), so multi-ref workflows get pricey; instruction-following and world knowledge trail Nano Banana Pro.","Hero product shots, campaign key visuals, cinematic and painterly art direction, dense typographic posters.","Fact-grounded infographics, many-reference identity work on a budget, conversational iterative editing."
